metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_receiving,1713525921421468,1.285494,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
http_req_failed,1713525921421468,0.000000,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
checks,1713525921421588,1.000000,is status 200,,,,,,,,steady_traffic,,,,,,,
data_sent,1713525921421615,304.000000,,,,,,,,,steady_traffic,,,,,,,
data_received,1713525921421615,67365.000000,,,,,,,,,steady_traffic,,,,,,,
iteration_duration,1713525921421615,73.683831,,,,,,,,,steady_traffic,,,,,,,
iterations,1713525921421615,1.000000,,,,,,,,,steady_traffic,,,,,,,
vus,1713525922333246,0.000000,,,,,,,,,,,,,,,,
vus_max,1713525922333246,200.000000,,,,,,,,,,,,,,,,
http_reqs,1713525922428406,1.000000,,,,true,,POST,http://10.225.149.55:30083/backend/requestpdf,HTTP/1.1,steady_traffic,,200,,,http://10.225.149.55:30083/backend/requestpdf,,
